10
8665 8664
1 8159 901196781
8159 5450 798905811
5450 2099 866251100
2099 4660 116824659
4660 4074 335720965
4074 7458 626048360
7458 5580 214473824
5580 835 888654290
835 4509 241515933
4509 1235 909738606
1235 2760 747757797
2760 8200 711128747
8200 7759 805312181
7759 6696 122109359
6696 6098 442451233
6098 5798 182371559
5798 5016 496300031
5016 6767 26352
6767 672 809827189
672 5411 98323219
5411 8003 91351391
8003 7833 118365824
7833 1784 897659167
1784 5315 218035562
5315 8215 927497561
8215 964 235336485
964 3511 182180689
3511 816 566387551
816 4545 110049461
4545 6308 736188119
6308 1274 831280746
1274 1245 863762596
1245 84 535093929
84 7687 550048199
7687 702 833103609
702 994 870814894
994 4513 28612912
4513 3116 47577433
3116 2193 611985537
2193 5570 122645199
5570 3264 809832393
3264 3338 212259688
3338 389 833773947
389 523 467660927
523 8392 186885401
8392 8098 128741533
8098 6231 502548840
6231 1917 683185433
1917 987 128767886
987 3024 164892382
3024 6058 634025006
6058 3664 220119277
3664 3995 283258207
3995 318 384200527
318 4154 438154840
4154 793 210755767
793 5977 619537012
5977 7426 472851883
7426 1563 629659672
1563 7594 582102827
7594 7568 209040001
7568 2067 313456771
2067 1156 445865423
1156 8382 596650284
8382 8516 863504970
8516 7745 131485385
7745 1004 319981531
1004 6677 744634237
6677 7997 31579172
7997 5340 931967068
5340 3678 867279436
3678 8544 841411565
8544 7524 144226755
7524 3050 701053382
3050 6776 161588845
6776 7856 183628511
7856 1294 829794916
1294 2702 664137686
2702 2932 866813944
2932 802 958562802
802 2675 829030068
2675 7895 353355303
7895 8018 31198432
8018 5469 112288274
5469 2385 737555830
2385 3223 469353272
3223 6997 175560396
6997 6362 209609195
6362 7597 942205155
7597 5821 805220068
5821 7132 791712023
7132 638 3761509
638 1952 118676839
1952 7007 90093799
7007 305 600411793
305 850 834698163
850 442 221579184
442 4142 920393324
4142 2648 431848753
2648 541 253158357
541 6883 704876746
6883 6474 299128189
6474 6090 947086276
6090 7210 701619855
7210 3210 852697925
3210 6408 108675121
6408 6314 885248366
6314 7601 535009194
7601 2241 625329161
2241 2246 604578663
2246 1500 346088349
1500 8004 306875582
8004 1958 810450321
1958 7228 377286782
7228 106 271680211
106 58 400522504
58 4021 846640054
4021 3355 299756961
3355 3859 610131700
3859 3030 641361563
3030 1159 104977028
1159 8606 254360076
8606 3866 497639426
3866 2762 76170221
2762 5588 196970229
5588 8147 98051219
8147 7454 763384739
7454 773 418549413
773 7445 870960897
7445 1929 47749845
1929 5037 524224124
5037 27 428353996
27 7396 346878034
7396 7953 471310400
7953 7882 982490206
7882 1327 52092313
1327 3920 432501875
3920 2263 720254925
2263 3266 587101507
3266 2450 910347390
2450 5962 177349942
5962 6146 933189857
6146 7733 69739325
7733 1182 987800263
1182 833 310476638
833 5392 341419536
5392 7420 388322766
7420 4748 9633045
4748 2318 641176497
2318 6852 850970820
6852 8310 503510962
8310 6239 598669880
6239 3556 105330895
3556 4372 1150388
4372 4963 527356455
4963 8567 154817478
8567 2336 951717962
2336 7861 143257547
7861 4070 573366892
4070 6799 675195212
6799 4526 191007393
4526 7643 97591015
7643 1593 103549208
1593 3515 390401781
3515 926 421417769
926 8506 938555768
8506 1926 442494094
1926 7973 706435998
7973 4590 658810692
4590 5080 29595601
5080 4263 616783387
4263 5043 836160634
5043 6845 962785458
6845 7450 686522713
7450 5087 676477250
5087 6060 125778449
6060 5745 880458603
5745 6385 64800016
6385 3520 135411494
3520 7707 374151454
7707 234 768287190
234 8320 491438811
8320 2405 972821334
2405 1580 726134440
1580 3835 492589199
3835 4789 352694142
4789 8542 880951918
8542 1914 296823514
1914 2712 348468044
2712 916 306835163
916 1878 972018726
1878 5251 539475437
5251 3690 256942533
3690 3347 928084288
3347 3495 929877218
3495 5728 678360302
5728 1006 866640055
1006 7119 224887666
7119 3587 237312654
3587 7897 377967101
7897 8207 254483267
8207 4319 854096041
4319 5984 66644088
5984 6929 69785078
6929 6356 393135107
6356 7279 743121339
7279 6054 48079881
6054 5489 126110064
5489 1750 660437709
1750 1688 36007729
1688 5517 500261518
5517 5151 281241252
5151 2754 527446540
2754 4599 325599205
4599 192 7375691
192 2439 20035738
2439 5983 678293347
5983 5896 888327610
5896 7295 169375606
7295 5587 26761390
5587 8344 47679126
8344 5860 141394332
5860 4363 418753181
4363 215 304621659
215 7077 69478619
7077 6976 201146753
6976 6334 982981962
6334 7318 788635029
7318 1471 426034419
1471 7288 72810969
7288 5059 19118483
5059 1949 533034040
1949 2709 926907010
2709 283 85762571
283 7466 602819118
7466 4540 172558471
4540 3243 681400264
3243 7640 650898999
7640 2611 298668535
2611 467 194354326
467 5014 686906728
5014 3412 798930053
3412 4335 475595579
4335 3850 66869622
3850 8417 124529257
8417 572 335487624
572 750 86905360
750 34 655338958
34 7753 76331587
7753 6240 108797321
6240 2282 534616703
2282 3783 124010714
3783 8056 250191653
8056 1761 805886238
1761 2521 428632373
2521 1679 172186626
1679 3529 7032990
3529 2363 264130688
2363 3962 813338009
3962 1051 285583763
1051 6927 336941657
6927 8625 832456492
8625 4802 818617803
4802 8489 116365021
8489 7837 770735418
7837 1733 273953274
1733 4475 288923492
4475 6790 304652035
6790 1570 777368627
1570 492 440108381
492 4013 351522716
4013 7693 316791709
7693 116 91554787
116 7418 827118295
7418 2272 383661331
2272 6136 68600398
6136 2740 15122272
2740 4151 323083045
4151 474 723939356
474 2705 91453860
2705 5088 431880366
5088 3411 111072412
3411 3532 215464574
3532 3954 682072019
3954 2036 916958651
2036 7933 644096947
7933 3318 706775000
3318 3269 776507995
3269 4359 908227636
4359 8536 520113008
8536 8163 914608113
8163 3905 245169292
3905 2623 205085854
2623 2120 585742269
2120 7595 361534313
7595 5982 828337626
5982 2027 859695544
2027 8213 502974159
8213 4973 132989660
4973 8126 489580524
8126 2008 943082540
2008 6969 337028730
6969 5827 806372233
5827 4956 34637326
4956 5342 16663378
5342 8574 190033563
8574 6933 103237724
6933 6412 31785651
6412 4331 513116609
4331 6857 679693435
6857 6166 123239511
6166 3002 944996975
3002 1649 790765847
1649 3510 338704085
3510 8384 479585348
8384 7570 560240851
7570 1171 982801032
1171 4007 38876701
4007 656 189265200
656 658 891028667
658 7715 558989709
7715 1097 103873312
1097 2060 988714314
2060 2507 616591917
2507 3041 542131935
3041 4174 202764980
4174 8563 444929542
8563 7777 254343832
7777 6262 705739140
6262 8526 430435557
8526 4940 743924357
4940 1086 648821679
1086 4344 767464287
4344 128 550296589
128 7866 535975360
7866 4954 784127666
4954 2015 592846507
2015 709 639213084
709 1692 815913317
1692 4938 105963115
4938 1602 171422872
1602 8539 939152828
8539 7545 903476444
7545 3449 962188720
3449 4294 130373266
4294 1180 235578145
1180 654 374945924
654 1843 113174297
1843 6993 274454846
6993 8334 416727478
8334 6202 856719319
6202 4209 685960910
4209 7433 373117144
7433 7813 845433632
7813 272 302552826
272 3741 915249080
3741 7849 48198611
7849 2771 599998723
2771 6523 169592911
6523 1771 606454105
1771 133 30434279
133 8662 913517268
8662 8377 107792138
8377 3809 650414920
3809 1577 316330211
1577 4246 643767498
4246 4520 287058939
4520 4742 909176718
4742 908 135496935
908 2404 955488610
2404 1011 867656187
1011 7606 306919808
7606 5339 747157791
5339 6919 623648984
6919 6450 121624881
6450 2095 877531057
2095 1985 711743484
1985 3521 496570805
3521 2616 990705355
2616 3025 986198330
3025 3854 913298284
3854 7398 699941027
7398 6323 524675593
6323 1378 138931781
1378 7863 397891012
7863 1745 827228420
1745 5712 54180860
5712 6639 298605977
6639 4369 279743496
4369 4427 76290126
4427 6869 905060083
6869 3146 162694129
3146 5494 989807394
5494 6103 12852220
6103 2323 813109049
2323 2242 158653958
2242 5838 656619718
5838 8015 952684343
8015 3787 920347030
3787 4128 792116653
4128 2721 908172952
2721 4111 640519570
4111 2276 99036460
2276 7460 507847097
7460 7556 116684908
7556 4730 73177695
4730 3874 385378153
3874 12 828428392
12 3767 569748501
3767 1648 228599861
1648 1335 667143075
1335 1309 335563138
1309 5099 928540888
5099 5963 191818668
5963 110 474494919
110 1516 178948253
1516 2622 871563442
2622 7134 381192134
7134 5958 477554231
5958 8108 151306937
8108 3417 457482260
3417 2314 382614313
2314 8585 314001066
8585 5176 299806007
5176 2968 247982887
2968 3692 979626469
3692 4176 458459966
4176 2344 904602605
2344 3608 932310811
3608 5204 231323349
5204 4720 549235611
4720 3535 693000117
3535 6719 871842920
6719 530 500788426
530 7270 53363567
7270 2135 988527828
2135 8066 573966121
8066 6254 438741720
6254 3775 816956219
3775 5636 996230976
5636 7018 519857936
7018 5589 336615647
5589 7879 184310467
7879 5831 300915177
5831 8052 528434315
8052 7290 658805387
7290 6599 479863431
6599 4035 252514110
4035 4766 39997520
4766 4318 957417662
4318 7877 403821047
7877 3349 349996134
3349 1504 192548328
1504 7770 570338467
7770 4502 649802141
4502 304 440531215
304 6328 549964936
6328 6605 108262106
6605 6052 197650173
6052 577 334792100
577 2468 192101810
2468 5939 746885784
5939 6252 880308571
6252 2645 63944729
2645 7989 100190563
7989 3800 933672138
3800 1765 52472556
1765 91 526673039
91 725 224930212
725 5888 721945129
5888 1778 522904014
1778 976 744788148
976 4549 58560775
4549 8407 707214482
8407 2863 45703324
2863 3720 439511445
3720 1193 218536222
1193 1398 525566755
1398 5920 692025555
5920 6723 111050096
6723 4312 335500770
4312 6399 948362957
6399 7609 461046230
7609 3491 528049098
3491 3388 518701423
3388 8431 110848370
8431 7917 968580313
7917 605 921182713
605 8201 71626831
8201 1207 166230485
1207 642 108491167
642 589 116244995
589 676 765632624
676 1000 988799738
1000 8501 180189724
8501 6319 865823187
6319 2525 922471876
2525 7385 85178634
7385 7819 245012579
7819 745 147402087
745 2392 659640117
2392 7830 767916594
7830 8131 744706589
